,manufacturer,version,power(kW),fuel_date,trip_distance(km),quantity(kWh),tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
6635,Tesla Motors,90D,343,06.07.2018,236.1,43.72,Summer tires,1,1,1,Moderate,43.72,0,0,,31.02,
6636,Tesla Motors,90D,343,04.07.2018,184.3,37.59,Summer tires,1,1,1,Normal,37.59,0,0,,24.89,
6637,Tesla Motors,90D,343,02.07.2018,222.0,42.76,Summer tires,1,1,1,Moderate,42.76,0,0,,30.06,
6638,Tesla Motors,90D,343,30.06.2018,67.4,11.43,Summer tires,1,1,1,Moderate,11.43,0,0,,-1.27,
6639,Tesla Motors,90D,343,30.06.2018,174.4,25.55,Summer tires,1,1,1,Moderate,25.55,0,0,,12.85,
6640,Tesla Motors,90D,343,29.06.2018,52.6,8.87,Summer tires,1,1,1,Moderate,8.87,0,0,,-3.83,
6641,Tesla Motors,90D,343,29.06.2018,198.5,31.6,Summer tires,1,1,1,Moderate,31.6,0,0,,18.9,
6642,Tesla Motors,90D,343,28.06.2018,253.4,45.51,Summer tires,1,1,1,Moderate,45.51,0,0,,32.81,
6643,Tesla Motors,90D,343,27.06.2018,118.0,19.63,Summer tires,1,1,1,Moderate,19.63,0,0,,6.93,
6644,Tesla Motors,90D,343,26.06.2018,204.3,36.57,Summer tires,1,1,1,Moderate,36.57,0,0,,23.87,
6645,Tesla Motors,90D,343,25.06.2018,158.2,27.04,Summer tires,1,1,1,Moderate,27.04,0,0,,14.34,
6646,Tesla Motors,90D,343,24.06.2018,192.4,36.04,Summer tires,1,1,1,Moderate,36.04,0,0,,23.34,
6647,Tesla Motors,90D,343,24.06.2018,238.2,52.1,Summer tires,1,1,1,Normal,52.1,0,0,,39.4,
6648,Tesla Motors,90D,343,22.06.2018,209.7,40.34,Summer tires,1,1,1,Moderate,40.34,0,0,,27.64,
6649,Tesla Motors,90D,343,20.06.2018,132.2,27.56,Summer tires,1,1,1,Normal,27.56,0,0,,14.86,
6650,Tesla Motors,90D,343,18.06.2018,101.2,17.77,Summer tires,1,1,1,Moderate,17.77,0,0,,5.07,
6651,Tesla Motors,90D,343,17.06.2018,295.9,54.1,Summer tires,1,1,1,Moderate,54.1,0,0,,41.4,
6652,Tesla Motors,90D,343,15.06.2018,135.6,26.9,Summer tires,1,1,1,Moderate,26.9,0,0,,14.2,
6653,Tesla Motors,90D,343,14.06.2018,125.8,23.7,Summer tires,1,1,1,Moderate,23.7,0,0,,11.0,
6654,Tesla Motors,90D,343,13.06.2018,241.4,50.5,Summer tires,1,1,1,Normal,50.5,0,0,,37.8,
6655,Tesla Motors,90D,343,12.06.2018,256.5,48.9,Summer tires,1,1,1,Moderate,48.9,0,0,,36.2,
6656,Tesla Motors,90D,343,11.06.2018,93.2,17.2,Summer tires,1,1,1,Moderate,17.2,0,0,,4.5,
6657,Tesla Motors,90D,343,08.06.2018,232.4,41.6,Summer tires,1,1,1,Moderate,41.6,0,0,,28.9,
6658,Tesla Motors,90D,343,06.06.2018,163.4,31.2,Summer tires,1,1,1,Moderate,31.2,0,0,,18.5,
6659,Tesla Motors,90D,343,05.06.2018,251.3,45.4,Summer tires,1,1,1,Moderate,45.4,0,0,,32.7,
6660,Tesla Motors,90D,343,04.06.2018,241.0,45.0,Summer tires,1,1,1,Moderate,45.0,0,0,,32.3,
6661,Tesla Motors,90D,343,30.05.2018,213.0,40.8,Summer tires,1,1,1,Moderate,40.8,0,0,,28.1,
6662,Tesla Motors,90D,343,28.05.2018,174.0,32.8,Summer tires,1,1,1,Moderate,32.8,0,0,,20.1,
6663,Tesla Motors,90D,343,25.05.2018,143.9,29.3,Summer tires,1,1,1,Normal,29.3,0,0,,16.6,
6664,Tesla Motors,90D,343,24.05.2018,400.2,65.0,Summer tires,1,1,1,Moderate,65.0,0,0,,52.3,
6665,Tesla Motors,90D,343,18.05.2018,135.9,28.2,Summer tires,1,1,1,Normal,28.2,0,0,,15.5,
6666,Tesla Motors,90D,343,17.05.2018,126.4,27.8,Summer tires,1,1,1,Normal,27.8,0,0,,15.1,
6667,Tesla Motors,90D,343,16.05.2018,126.1,27.3,Summer tires,1,1,1,Normal,27.3,0,0,,14.6,
6668,Tesla Motors,90D,343,16.05.2018,256.5,43.9,Summer tires,1,1,1,Moderate,43.9,0,0,,31.2,
6669,Tesla Motors,90D,343,14.05.2018,190.0,36.6,Summer tires,1,1,1,Moderate,36.6,0,0,,23.9,
6670,Tesla Motors,90D,343,10.05.2018,99.5,21.9,Summer tires,1,1,1,Normal,21.9,0,0,,9.2,
6671,Tesla Motors,90D,343,09.05.2018,122.8,25.3,Summer tires,1,1,1,Normal,25.3,0,0,,12.6,
6672,Tesla Motors,90D,343,08.05.2018,203.9,38.5,Summer tires,1,1,1,Moderate,38.5,0,0,,25.8,
6673,Tesla Motors,90D,343,06.05.2018,97.3,21.4,Summer tires,1,1,1,Normal,21.4,0,0,,8.7,
6674,Tesla Motors,90D,343,06.05.2018,115.4,27.9,Summer tires,1,1,1,Fast,27.9,0,0,,15.2,
6675,Tesla Motors,90D,343,06.05.2018,88.7,19.2,Summer tires,1,1,1,Normal,19.2,0,0,,6.5,
6676,Tesla Motors,90D,343,05.05.2018,98.8,21.4,Summer tires,1,1,1,Normal,21.4,0,0,,8.7,
6677,Tesla Motors,90D,343,04.05.2018,136.5,24.3,Summer tires,1,1,1,Moderate,24.3,0,0,,11.6,
6678,Tesla Motors,90D,343,03.05.2018,233.3,41.6,Summer tires,1,1,1,Moderate,41.6,0,0,,28.9,
6679,Tesla Motors,90D,343,29.04.2018,205.6,34.8,Summer tires,1,1,1,Moderate,34.8,0,0,,22.1,
6680,Tesla Motors,90D,343,28.04.2018,80.4,14.9,Summer tires,1,1,1,Moderate,14.9,0,0,,2.2,
6681,Tesla Motors,90D,343,28.04.2018,197.9,42.0,Summer tires,1,1,1,Normal,42.0,0,0,,29.3,
6682,Tesla Motors,90D,343,27.04.2018,81.1,14.9,Summer tires,1,1,1,Moderate,14.9,0,0,,2.2,
6683,Tesla Motors,90D,343,27.04.2018,190.9,41.3,Summer tires,1,1,1,Normal,41.3,0,0,,28.6,
6684,Tesla Motors,90D,343,27.04.2018,137.6,30.3,Summer tires,1,1,1,Normal,30.3,0,0,,17.6,
6685,Tesla Motors,90D,343,26.04.2018,126.2,25.4,Summer tires,1,1,1,Normal,25.4,0,0,,12.7,
6686,Tesla Motors,90D,343,25.04.2018,125.3,24.0,Summer tires,1,1,1,Moderate,24.0,0,0,,11.3,
6687,Tesla Motors,90D,343,25.04.2018,213.0,41.6,Summer tires,1,1,1,Moderate,41.6,0,0,,28.9,
6688,Tesla Motors,90D,343,23.04.2018,178.2,34.4,Summer tires,1,1,1,Moderate,34.4,0,0,,21.7,
6689,Tesla Motors,90D,343,21.04.2018,231.4,43.1,Summer tires,1,1,1,Moderate,43.1,0,0,,30.4,
6690,Tesla Motors,90D,343,20.04.2018,144.4,29.5,Summer tires,1,1,1,Normal,29.5,0,0,,16.8,
6691,Tesla Motors,90D,343,19.04.2018,156.5,32.0,Summer tires,1,1,1,Normal,32.0,0,0,,19.3,
6692,Tesla Motors,90D,343,18.04.2018,121.2,23.0,Summer tires,1,1,1,Moderate,23.0,0,0,,10.3,
6693,Tesla Motors,90D,343,17.04.2018,173.1,35.3,Summer tires,1,1,1,Normal,35.3,0,0,,22.6,
6694,Tesla Motors,90D,343,16.04.2018,90.5,18.0,Summer tires,1,1,1,Moderate,18.0,0,0,,5.3,
6695,Tesla Motors,90D,343,15.04.2018,172.7,36.5,Summer tires,1,1,1,Normal,36.5,0,0,,23.8,
6696,Tesla Motors,90D,343,14.04.2018,150.5,34.7,Summer tires,1,1,1,Normal,34.7,0,0,,22.0,
6697,Tesla Motors,90D,343,13.04.2018,135.8,27.1,Summer tires,1,1,1,Moderate,27.1,0,0,,14.4,
6698,Tesla Motors,90D,343,12.04.2018,192.4,38.8,Summer tires,1,1,1,Normal,38.8,0,0,,26.1,
6699,Tesla Motors,90D,343,11.04.2018,125.6,24.0,Summer tires,1,1,1,Moderate,24.0,0,0,,11.3,
6700,Tesla Motors,90D,343,10.04.2018,93.5,20.5,Summer tires,1,1,1,Normal,20.5,0,0,,7.8,
6701,Tesla Motors,90D,343,09.04.2018,203.4,40.6,Summer tires,1,1,1,Moderate,40.6,0,0,,27.9,
6702,Tesla Motors,90D,343,08.04.2018,110.0,27.4,Summer tires,1,1,1,Fast,27.4,0,0,,14.7,
6703,Tesla Motors,90D,343,08.04.2018,81.1,16.5,Summer tires,1,1,1,Normal,16.5,0,0,,3.8,
6704,Tesla Motors,90D,343,08.04.2018,200.9,48.1,Summer tires,1,1,1,Normal,48.1,0,0,,35.4,
6705,Tesla Motors,90D,343,07.04.2018,126.0,31.2,Summer tires,1,1,1,Fast,31.2,0,0,,18.5,
6706,Tesla Motors,90D,343,06.04.2018,117.5,31.4,Winter tires,1,1,1,Fast,31.4,0,0,,18.7,
6707,Tesla Motors,90D,343,05.04.2018,91.3,20.2,Winter tires,1,1,1,Normal,20.2,0,0,,7.5,
6708,Tesla Motors,90D,343,04.04.2018,204.2,43.7,Winter tires,1,1,1,Normal,43.7,0,0,,31.0,
6709,Tesla Motors,90D,343,03.04.2018,106.0,25.7,Winter tires,1,1,1,Fast,25.7,0,0,,13.0,
6710,Tesla Motors,90D,343,02.04.2018,118.1,31.7,Winter tires,1,1,1,Fast,31.7,0,0,,19.0,
6711,Tesla Motors,90D,343,01.04.2018,153.8,34.6,Winter tires,1,1,1,Normal,34.6,0,0,,21.9,
6712,Tesla Motors,90D,343,30.03.2018,138.8,31.9,Winter tires,1,1,1,Normal,31.9,0,0,,19.2,
6713,Tesla Motors,90D,343,29.03.2018,104.5,25.3,Winter tires,1,1,1,Fast,25.3,0,0,,12.6,
6714,Tesla Motors,90D,343,28.03.2018,124.0,29.1,Winter tires,1,1,1,Normal,29.1,0,0,,16.4,
6715,Tesla Motors,90D,343,27.03.2018,99.7,24.4,Winter tires,1,1,1,Fast,24.4,0,0,,11.7,
6716,Tesla Motors,90D,343,26.03.2018,99.0,24.4,Winter tires,1,1,1,Fast,24.4,0,0,,11.7,
6717,Tesla Motors,90D,343,25.03.2018,160.6,37.3,Winter tires,1,1,1,Normal,37.3,0,0,,24.6,
6718,Tesla Motors,90D,343,24.03.2018,166.5,35.3,Winter tires,1,1,1,Normal,35.3,0,0,,22.6,
6719,Tesla Motors,90D,343,23.03.2018,118.2,30.8,Winter tires,1,1,1,Fast,30.8,0,0,,18.1,
6720,Tesla Motors,90D,343,22.03.2018,94.1,25.3,Winter tires,1,1,1,Fast,25.3,0,0,,12.6,
6721,Tesla Motors,90D,343,21.03.2018,121.2,31.4,Winter tires,1,1,1,Fast,31.4,0,0,,18.7,
6722,Tesla Motors,90D,343,20.03.2018,92.5,25.3,Winter tires,1,1,1,Fast,25.3,0,0,,12.6,
6723,Tesla Motors,90D,343,19.03.2018,149.8,43.0,Winter tires,1,1,1,Fast,43.0,0,0,,30.3,
6724,Tesla Motors,90D,343,17.03.2018,96.3,29.1,Winter tires,1,1,1,Fast,29.1,0,0,,16.4,
6725,Tesla Motors,90D,343,16.03.2018,135.9,31.4,Winter tires,1,1,1,Normal,31.4,0,0,,18.7,
6726,Tesla Motors,90D,343,15.03.2018,91.6,21.3,Winter tires,1,1,1,Normal,21.3,0,0,,8.6,
6727,Tesla Motors,90D,343,14.03.2018,184.6,43.3,Winter tires,1,1,1,Normal,43.3,0,0,,30.6,
6728,Tesla Motors,90D,343,12.03.2018,131.5,33.0,Winter tires,1,1,1,Fast,33.0,0,0,,20.3,
6729,Tesla Motors,90D,343,10.03.2018,97.1,24.4,Winter tires,1,1,1,Fast,24.4,0,0,,11.7,
6730,Tesla Motors,90D,343,09.03.2018,117.7,25.8,Winter tires,1,1,1,Normal,25.8,0,0,,13.1,
6731,Tesla Motors,90D,343,08.03.2018,178.4,37.7,Winter tires,1,1,1,Normal,37.7,0,0,,25.0,
6732,Tesla Motors,90D,343,06.03.2018,120.7,28.4,Winter tires,1,1,1,Normal,28.4,0,0,,15.7,
6733,Tesla Motors,90D,343,05.03.2018,92.2,22.3,Winter tires,1,1,1,Fast,22.3,0,0,,9.6,
6734,Tesla Motors,90D,343,04.03.2018,97.3,25.0,Winter tires,1,1,1,Fast,25.0,0,0,,12.3,
6735,Tesla Motors,90D,343,02.03.2018,175.3,46.4,Winter tires,1,1,1,Fast,46.4,0,0,,33.7,
6736,Tesla Motors,90D,343,01.03.2018,91.9,27.5,Winter tires,1,1,1,Fast,27.5,0,0,,14.8,
6737,Tesla Motors,90D,343,28.02.2018,92.0,26.5,Winter tires,1,1,1,Fast,26.5,0,0,,13.8,
6738,Tesla Motors,90D,343,27.02.2018,92.1,24.1,Winter tires,1,1,1,Fast,24.1,0,0,,11.4,
6739,Tesla Motors,90D,343,26.02.2018,106.5,28.3,Winter tires,1,1,1,Fast,28.3,0,0,,15.6,
6740,Tesla Motors,90D,343,24.02.2018,190.7,48.3,Winter tires,1,1,1,Fast,48.3,0,0,,35.6,
6741,Tesla Motors,90D,343,23.02.2018,96.4,28.9,Winter tires,1,1,1,Fast,28.9,0,0,,16.2,
6742,Tesla Motors,90D,343,22.02.2018,183.9,46.0,Winter tires,1,1,1,Fast,46.0,0,0,,33.3,
6743,Tesla Motors,90D,343,20.02.2018,193.3,47.7,Winter tires,1,1,1,Fast,47.7,0,0,,35.0,
6744,Tesla Motors,90D,343,18.02.2018,79.1,20.7,Winter tires,1,1,1,Fast,20.7,0,0,,8.0,
6745,Tesla Motors,90D,343,17.02.2018,86.2,21.1,Winter tires,1,1,1,Fast,21.1,0,0,,8.4,
6746,Tesla Motors,90D,343,17.02.2018,52.0,12.7,Winter tires,1,1,1,Fast,12.7,0,0,,0.0,
6747,Tesla Motors,90D,343,16.02.2018,41.2,11.3,Winter tires,1,1,1,Fast,11.3,0,0,,-1.4,
6748,Tesla Motors,90D,343,13.02.2018,126.4,34.6,Winter tires,1,1,1,Fast,34.6,0,0,,21.9,
6749,Tesla Motors,90D,343,09.02.2018,90.2,24.4,Winter tires,1,1,1,Fast,24.4,0,0,,11.7,
6750,Tesla Motors,90D,343,09.02.2018,134.2,34.5,Winter tires,1,1,1,Fast,34.5,0,0,,21.8,
6751,Tesla Motors,90D,343,08.02.2018,176.3,43.5,Winter tires,1,1,1,Fast,43.5,0,0,,30.8,
6752,Tesla Motors,90D,343,07.02.2018,97.8,28.1,Winter tires,1,1,1,Fast,28.1,0,0,,15.4,
6753,Tesla Motors,90D,343,06.02.2018,129.0,34.3,Winter tires,1,1,1,Fast,34.3,0,0,,21.6,
6754,Tesla Motors,90D,343,05.02.2018,127.9,30.8,Winter tires,1,1,1,Normal,30.8,0,0,,18.1,
6755,Tesla Motors,90D,343,05.02.2018,158.3,42.2,Winter tires,1,1,1,Fast,42.2,0,0,,29.5,
6756,Tesla Motors,90D,343,02.02.2018,136.0,36.1,Winter tires,1,1,1,Fast,36.1,0,0,,23.4,
6757,Tesla Motors,90D,343,01.02.2018,92.4,22.1,Winter tires,1,1,1,Normal,22.1,0,0,,9.4,
6758,Tesla Motors,90D,343,31.01.2018,183.7,42.8,Winter tires,1,1,1,Normal,42.8,0,0,,30.1,
6759,Tesla Motors,90D,343,28.01.2018,173.3,41.1,Winter tires,1,1,1,Normal,41.1,0,0,,28.4,
6760,Tesla Motors,90D,343,27.01.2018,126.5,32.3,Winter tires,1,1,1,Fast,32.3,0,0,,19.6,
6761,Tesla Motors,90D,343,27.01.2018,164.9,48.0,Winter tires,1,1,1,Fast,48.0,0,0,,35.3,
6762,Tesla Motors,90D,343,26.01.2018,135.9,35.5,Winter tires,1,1,1,Fast,35.5,0,0,,22.8,
6763,Tesla Motors,90D,343,25.01.2018,91.3,26.3,Winter tires,1,1,1,Fast,26.3,0,0,,13.6,
6764,Tesla Motors,90D,343,24.01.2018,184.3,44.8,Winter tires,1,1,1,Fast,44.8,0,0,,32.1,
6765,Tesla Motors,90D,343,22.01.2018,90.9,24.4,Winter tires,1,1,1,Fast,24.4,0,0,,11.7,
6766,Tesla Motors,90D,343,21.01.2018,123.3,35.4,Winter tires,1,1,1,Fast,35.4,0,0,,22.7,
6767,Tesla Motors,90D,343,19.01.2018,136.7,32.9,Winter tires,1,1,1,Fast,32.9,0,0,,20.2,
6768,Tesla Motors,90D,343,18.01.2018,186.3,45.6,Winter tires,1,1,1,Fast,45.6,0,0,,32.9,
6769,Tesla Motors,90D,343,16.01.2018,129.0,32.1,Winter tires,1,1,1,Fast,32.1,0,0,,19.4,
6770,Tesla Motors,90D,343,15.01.2018,130.2,30.8,Winter tires,1,1,1,Normal,30.8,0,0,,18.1,
6771,Tesla Motors,90D,343,15.01.2018,85.6,20.1,Winter tires,1,1,1,Normal,20.1,0,0,,7.4,
6772,Tesla Motors,90D,343,14.01.2018,149.7,35.1,Winter tires,1,1,1,Normal,35.1,0,0,,22.4,
6773,Tesla Motors,90D,343,13.01.2018,45.2,10.6,Winter tires,1,1,1,Normal,10.6,0,0,,-2.1,
6774,Tesla Motors,90D,343,13.01.2018,111.0,26.03,Winter tires,1,1,1,Normal,26.03,0,0,,13.33,
6775,Tesla Motors,90D,343,12.01.2018,3.2,0.9,Winter tires,1,1,1,Fast,0.9,0,0,,-11.8,
6776,Tesla Motors,90D,343,12.01.2018,92.4,22.13,Winter tires,1,1,1,Normal,22.13,0,0,,9.43,
6777,Tesla Motors,90D,343,12.01.2018,135.3,32.4,Winter tires,1,1,1,Fast,32.4,0,0,,19.7,
6778,Tesla Motors,90D,343,11.01.2018,186.5,43.9,Winter tires,1,1,1,Normal,43.9,0,0,,31.2,
6779,Tesla Motors,90D,343,09.01.2018,128.9,32.1,Winter tires,1,1,1,Fast,32.1,0,0,,19.4,
6780,Tesla Motors,90D,343,08.01.2018,128.5,32.1,Winter tires,1,1,1,Fast,32.1,0,0,,19.4,
6781,Tesla Motors,90D,343,08.01.2018,135.7,35.2,Winter tires,1,1,1,Fast,35.2,0,0,,22.5,
6782,Tesla Motors,90D,343,06.01.2018,89.7,20.6,Winter tires,1,1,1,Normal,20.6,0,0,,7.9,
6783,Tesla Motors,90D,343,06.01.2018,172.1,39.0,Winter tires,1,1,1,Normal,39.0,0,0,,26.3,
6784,Tesla Motors,90D,343,05.01.2018,180.6,44.4,Winter tires,1,1,1,Fast,44.4,0,0,,31.7,
6785,Tesla Motors,90D,343,04.01.2018,164.8,39.8,Winter tires,1,1,1,Fast,39.8,0,0,,27.1,
6786,Tesla Motors,90D,343,04.01.2018,108.2,27.2,Winter tires,1,1,1,Fast,27.2,0,0,,14.5,
6787,Tesla Motors,90D,343,03.01.2018,182.7,46.7,Winter tires,1,1,1,Fast,46.7,0,0,,34.0,
6788,Tesla Motors,90D,343,30.12.2017,107.0,28.4,Winter tires,1,1,1,Fast,28.4,0,0,,15.7,
6789,Tesla Motors,90D,343,29.12.2017,95.1,24.1,Winter tires,1,1,1,Fast,24.1,0,0,,11.4,
6790,Tesla Motors,90D,343,29.12.2017,188.7,48.8,Winter tires,1,1,1,Fast,48.8,0,0,,36.1,
6791,Tesla Motors,90D,343,26.12.2017,125.4,32.4,Winter tires,1,1,1,Fast,32.4,0,0,,19.7,
6792,Tesla Motors,90D,343,24.12.2017,276.4,61.8,Winter tires,1,1,1,Normal,61.8,0,0,,49.1,
6793,Tesla Motors,90D,343,22.12.2017,107.2,25.9,Winter tires,1,1,1,Fast,25.9,0,0,,13.2,
6794,Tesla Motors,90D,343,22.12.2017,135.4,33.5,Winter tires,1,1,1,Fast,33.5,0,0,,20.8,
6795,Tesla Motors,90D,343,21.12.2017,125.6,29.7,Winter tires,1,1,1,Normal,29.7,0,0,,17.0,
6796,Tesla Motors,90D,343,20.12.2017,128.1,29.7,Winter tires,1,1,1,Normal,29.7,0,0,,17.0,
6797,Tesla Motors,90D,343,20.12.2017,11.1,3.2,Winter tires,1,1,1,Fast,3.2,0,0,,-9.5,
6798,Tesla Motors,90D,343,20.12.2017,121.2,30.7,Winter tires,1,1,1,Fast,30.7,0,0,,18.0,
6799,Tesla Motors,90D,343,19.12.2017,120.6,32.4,Winter tires,1,1,1,Fast,32.4,0,0,,19.7,
6800,Tesla Motors,90D,343,18.12.2017,135.5,34.2,Winter tires,1,1,1,Fast,34.2,0,0,,21.5,
6801,Tesla Motors,90D,343,14.12.2017,94.3,23.7,Winter tires,1,1,1,Fast,23.7,0,0,,11.0,
6802,Tesla Motors,90D,343,13.12.2017,213.6,49.6,Winter tires,1,1,1,Normal,49.6,0,0,,36.9,
6803,Tesla Motors,90D,343,11.12.2017,128.2,30.7,Winter tires,1,1,1,Fast,30.7,0,0,,18.0,
6804,Tesla Motors,90D,343,10.12.2017,206.8,53.9,Winter tires,1,1,1,Fast,53.9,0,0,,41.2,
6805,Tesla Motors,90D,343,08.12.2017,136.6,34.2,Winter tires,1,1,1,Fast,34.2,0,0,,21.5,
6806,Tesla Motors,90D,343,07.12.2017,184.4,48.0,Winter tires,1,1,1,Fast,48.0,0,0,,35.3,
6807,Tesla Motors,90D,343,05.12.2017,194.4,50.2,Winter tires,1,1,1,Fast,50.2,0,0,,37.5,
6808,Tesla Motors,90D,343,04.12.2017,141.7,36.0,Winter tires,1,1,1,Fast,36.0,0,0,,23.3,
6809,Tesla Motors,90D,343,03.12.2017,305.0,70.2,Winter tires,1,1,1,Normal,70.2,0,0,,57.5,
6810,Tesla Motors,90D,343,01.12.2017,234.3,56.8,Winter tires,1,1,1,Fast,56.8,0,0,,44.1,
6811,Tesla Motors,90D,343,29.11.2017,214.5,49.5,Winter tires,1,1,1,Normal,49.5,0,0,,36.8,
6812,Tesla Motors,90D,343,27.11.2017,225.2,53.4,Winter tires,1,1,1,Normal,53.4,0,0,,40.7,
6813,Tesla Motors,90D,343,25.11.2017,180.0,45.8,Winter tires,1,1,1,Fast,45.8,0,0,,33.1,
6814,Tesla Motors,90D,343,24.11.2017,229.1,53.7,Winter tires,1,1,1,Normal,53.7,0,0,,41.0,
6815,Tesla Motors,90D,343,22.11.2017,213.6,49.4,Winter tires,1,1,1,Normal,49.4,0,0,,36.7,
6816,Tesla Motors,90D,343,20.11.2017,152.1,38.3,Winter tires,1,1,1,Fast,38.3,0,0,,25.6,
6817,Tesla Motors,90D,343,18.11.2017,6.8,1.8,Winter tires,1,1,1,Fast,1.8,0,0,,-10.9,
6818,Tesla Motors,90D,343,18.11.2017,96.7,25.0,Winter tires,1,1,1,Fast,25.0,0,0,,12.3,
6819,Tesla Motors,90D,343,17.11.2017,135.8,30.2,Winter tires,1,1,1,Normal,30.2,0,0,,17.5,
6820,Tesla Motors,90D,343,16.11.2017,213.2,49.7,Winter tires,1,1,1,Normal,49.7,0,0,,37.0,
6821,Tesla Motors,90D,343,14.11.2017,140.8,36.1,Winter tires,1,1,1,Fast,36.1,0,0,,23.4,
6822,Tesla Motors,90D,343,13.11.2017,86.7,22.0,Winter tires,1,1,1,Fast,22.0,0,0,,9.3,
6823,Tesla Motors,90D,343,12.11.2017,149.9,35.8,Winter tires,1,1,1,Normal,35.8,0,0,,23.1,
6824,Tesla Motors,90D,343,11.11.2017,182.7,43.8,Winter tires,1,1,1,Fast,43.8,0,0,,31.1,
6825,Tesla Motors,90D,343,10.11.2017,227.9,52.3,Winter tires,1,1,1,Normal,52.3,0,0,,39.6,
6826,Tesla Motors,90D,343,08.11.2017,239.1,54.6,Winter tires,1,1,1,Normal,54.6,0,0,,41.9,
6827,Tesla Motors,90D,343,06.11.2017,219.3,44.7,Winter tires,1,1,1,Normal,44.7,0,0,,32.0,
6828,Tesla Motors,90D,343,03.11.2017,135.7,25.8,Summer tires,1,1,1,Moderate,25.8,0,0,,13.1,
6829,Tesla Motors,90D,343,02.11.2017,46.5,10.1,Summer tires,1,1,1,Normal,10.1,0,0,,-2.6,
6830,Tesla Motors,90D,343,01.11.2017,203.7,44.0,Summer tires,1,1,1,Normal,44.0,0,0,,31.3,
6831,Tesla Motors,90D,343,29.10.2017,145.5,29.7,Summer tires,1,1,1,Normal,29.7,0,0,,17.0,
6832,Tesla Motors,90D,343,28.10.2017,207.9,41.6,Summer tires,1,1,1,Normal,41.6,0,0,,28.9,
6833,Tesla Motors,90D,343,27.10.2017,228.2,45.2,Summer tires,1,1,1,Moderate,45.2,0,0,,32.5,
6834,Tesla Motors,90D,343,25.10.2017,214.2,40.2,Summer tires,1,1,1,Moderate,40.2,0,0,,27.5,
6835,Tesla Motors,90D,343,23.10.2017,280.1,52.7,Summer tires,1,1,1,Moderate,52.7,0,0,,40.0,
6836,Tesla Motors,90D,343,20.10.2017,228.7,49.1,Summer tires,1,1,1,Normal,49.1,0,0,,36.4,
6837,Tesla Motors,90D,343,18.10.2017,214.5,45.0,Summer tires,1,1,1,Normal,45.0,0,0,,32.3,
6838,Tesla Motors,90D,343,16.10.2017,191.6,39.4,Summer tires,1,1,1,Normal,39.4,0,0,,26.7,
6839,Tesla Motors,90D,343,14.10.2017,150.2,29.1,Summer tires,1,1,1,Moderate,29.1,0,0,,16.4,
6841,Tesla Motors,90D,343,13.10.2017,138.4,31.1,Summer tires,1,1,1,Normal,31.1,0,0,,18.4,
6842,Tesla Motors,90D,343,12.10.2017,143.0,32.5,Summer tires,1,1,1,Normal,32.5,0,0,,19.8,
6843,Tesla Motors,90D,343,11.10.2017,215.2,45.0,Summer tires,1,1,1,Normal,45.0,0,0,,32.3,
6844,Tesla Motors,90D,343,09.10.2017,150.2,31.5,Summer tires,1,1,1,Normal,31.5,0,0,,18.8,
6845,Tesla Motors,90D,343,05.10.2017,262.2,48.2,Summer tires,1,1,1,Moderate,48.2,0,0,,35.5,
6846,Tesla Motors,90D,343,01.10.2017,34.8,7.5,Summer tires,1,1,1,Normal,7.5,0,0,,-5.2,
6847,Tesla Motors,90D,343,01.10.2017,159.0,32.4,Summer tires,1,1,1,Normal,32.4,0,0,,19.7,
6848,Tesla Motors,90D,343,30.09.2017,92.1,15.2,Summer tires,1,1,1,Moderate,15.2,0,0,,2.5,
6849,Tesla Motors,90D,343,28.09.2017,252.3,44.3,Summer tires,1,1,1,Moderate,44.3,0,0,,31.6,
6850,Tesla Motors,90D,343,25.09.2017,211.1,43.6,Summer tires,1,1,1,Normal,43.6,0,0,,30.9,
6851,Tesla Motors,90D,343,23.09.2017,213.4,41.5,Summer tires,1,1,1,Moderate,41.5,0,0,,28.8,
6852,Tesla Motors,90D,343,23.09.2017,123.5,22.7,Summer tires,1,1,1,Moderate,22.7,0,0,,10.0,
6853,Tesla Motors,90D,343,23.09.2017,230.0,44.8,Summer tires,1,1,1,Moderate,44.8,0,0,,32.1,
6854,Tesla Motors,90D,343,22.09.2017,148.4,24.6,Summer tires,1,1,1,Moderate,24.6,0,0,,11.9,
6855,Tesla Motors,90D,343,21.09.2017,244.4,50.0,Summer tires,1,1,1,Normal,50.0,0,0,,37.3,
6856,Tesla Motors,90D,343,21.09.2017,114.7,21.1,Summer tires,1,1,1,Moderate,21.1,0,0,,8.4,
6857,Tesla Motors,90D,343,20.09.2017,155.5,29.4,Summer tires,1,1,1,Moderate,29.4,0,0,,16.7,
6858,Tesla Motors,90D,343,20.09.2017,123.5,21.9,Summer tires,1,1,1,Moderate,21.9,0,0,,9.2,
6859,Tesla Motors,90D,343,20.09.2017,164.8,33.1,Summer tires,1,1,1,Normal,33.1,0,0,,20.4,
6860,Tesla Motors,90D,343,20.09.2017,185.7,34.3,Summer tires,1,1,1,Moderate,34.3,0,0,,21.6,
6861,Tesla Motors,90D,343,20.09.2017,123.1,21.0,Summer tires,1,1,1,Moderate,21.0,0,0,,8.3,
