manufacturer,version,power(kW),fuel_date,trip_distance(km),quantity(kWh),tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation
Volkswagen,e-Golf,85,17.09.2018,57,13.58,Summer tires,0,1,1,Moderate,12.3,0,0,58,-4.5
Volkswagen,e-Golf,85,17.09.2018,73,10.42,Summer tires,0,1,0,Moderate,13.2,0,1,63,-3.6
Volkswagen,e-Golf,85,17.09.2018,87,6.31,Summer tires,0,1,1,Moderate,13.1,0,1,58,-3.7
Volkswagen,e-Golf,85,16.09.2018,72,10.01,Summer tires,0,0,1,Moderate,13.9,0,0,55,-2.9
Volkswagen,e-Golf,85,15.09.2018,3,0.37,Summer tires,1,0,0,Moderate,12.5,0,1,15,-4.3
Volkswagen,e-Golf,85,14.09.2018,108,3.82,Summer tires,0,1,0,Moderate,11.8,0,0,61,-5
Volkswagen,e-Golf,85,14.09.2018,103,14.9,Summer tires,0,1,0,Moderate,12.8,0,1,69,-4
Volkswagen,e-Golf,85,13.09.2018,18,13.28,Summer tires,0,1,0,Moderate,12.9,0,1,56,-3.9
Volkswagen,e-Golf,85,13.09.2018,97,2.23,Summer tires,0,0,1,Moderate,13.3,0,0,53,-3.5
Volkswagen,e-Golf,85,11.09.2018,72,14.71,Summer tires,0,1,0,Moderate,13,0,0,77,-3.8
Volkswagen,e-Golf,85,11.09.2018,100,10.79,Summer tires,0,1,0,Moderate,12.5,0,1,67,-4.3
Volkswagen,e-Golf,85,10.09.2018,71,10.51,Summer tires,0,1,0,Moderate,11.2,0,0,75,-5.6
Volkswagen,e-Golf,85,07.09.2018,74,12.55,Summer tires,0,1,0,Moderate,14.4,0,0,57,-2.4
Volkswagen,e-Golf,85,07.09.2018,19,5.39,Summer tires,1,1,0,Moderate,11,0,0,46,-5.8
Volkswagen,e-Golf,85,07.09.2018,104,8.1,Summer tires,0,1,0,Moderate,11.8,0,0,61,-5
Volkswagen,e-Golf,85,06.09.2018,105,10.97,Summer tires,0,1,0,Moderate,11.8,0,0,68,-5
Volkswagen,e-Golf,85,05.09.2018,71,11.39,Summer tires,0,1,0,Moderate,13.5,0,0,82,-3.3
Volkswagen,e-Golf,85,05.09.2018,101,11.35,Summer tires,0,1,0,Moderate,11.7,0,0,74,-5.1
Volkswagen,e-Golf,85,31.08.2018,18,10.18,Summer tires,1,0,0,Moderate,12.5,0,0,35,-4.3
Volkswagen,e-Golf,85,31.08.2018,104,10.42,Summer tires,0,1,0,Moderate,13.1,0,0,70,-3.7
Volkswagen,e-Golf,85,30.08.2018,71,13.92,Summer tires,0,1,0,Moderate,13.3,0,0,69,-3.5
Volkswagen,e-Golf,85,30.08.2018,102,11.35,Summer tires,0,1,0,Moderate,13.1,0,0,67,-3.7
Volkswagen,e-Golf,85,29.08.2018,102,11.72,Summer tires,0,1,0,Moderate,12.5,0,0,69,-4.3
Volkswagen,e-Golf,85,28.08.2018,85,9.86,Summer tires,0,1,0,Moderate,11.7,0,0,69,-5.1
Volkswagen,e-Golf,85,27.08.2018,17,0.93,Summer tires,0,1,0,Moderate,14.4,0,0,56,-2.4
Volkswagen,e-Golf,85,27.08.2018,71,10.22,Summer tires,0,1,0,Moderate,12.7,0,0,79,-4.1
Volkswagen,e-Golf,85,27.08.2018,24,9.67,Summer tires,0,1,0,Moderate,12.8,0,0,44,-4
