manufacturer,version,fuel_date,trip_distance(km),power(kW),quantity(kWh),tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
Renault,ZOE Intens R240,31.07.2017,561,43,88,Summer tires,1,1,1,Normal,15.8,0,0,37,2,"7 kWh zu Hause, Rest kostenfrei an öffentlich zugänglichen Säulen<br /><br />Heimzählerstand: 7 kWh"
Renault,R240 Intens,17.05.2019,125,43,19,Summer tires,1,0,1,Normal,14,1,1,30.4,0.2,
Renault,R240 Intens,10.05.2019,315,43,43,Summer tires,1,0,1,Normal,13.8,1,1,33.4,0,
Renault,R240 Intens,25.04.2019,56,43,9,Summer tires,1,0,1,Normal,15,1,1,47.7,1.2,
Renault,R240 Intens,24.04.2019,105,43,14,Summer tires,1,0,1,Normal,13.5,1,1,34,-0.3,
Renault,R240 Intens,05.04.2019,147,43,16.3,Summer tires,1,0,1,Normal,14.2,1,1,30.4,0.4,
Renault,R240 Intens,26.03.2019,105,43,16,Winter tires,1,0,1,Normal,15.7,0,1,28.4,1.9,
Renault,R240 Intens,20.03.2019,96,43,14,Winter tires,1,0,1,Normal,15.4,0,1,32.8,1.6,
Renault,R240 Intens,18.03.2019,131,43,21,Winter tires,1,0,1,Normal,16.4,0,1,30.8,2.6,
Renault,R240 Intens,12.03.2019,88,43,14,Winter tires,1,0,1,Normal,16.4,1,0,31.4,2.6,
Renault,R240 Intens,08.03.2019,75,43,11,Winter tires,1,0,1,Normal,15.1,1,0,36.2,1.3,
Renault,R240 Intens,05.03.2019,84,43,12,Winter tires,1,0,1,Normal,14.8,1,0,33.6,1,
Renault,R240 Intens,28.02.2019,53,43,8,Winter tires,1,0,1,Normal,15.5,1,0,32.8,1.7,
Renault,R240 Intens,26.02.2019,146,43,22,Winter tires,1,0,1,Normal,15.8,1,0,30.4,2,
Renault,R240 Intens,19.02.2019,66,43,11,Winter tires,1,0,1,Normal,16.9,0,1,27,3.1,
Renault,R240 Intens,15.02.2019,78,43,13,Winter tires,1,0,1,Normal,17.2,0,1,29.4,3.4,
Renault,R240 Intens,10.02.2019,150,43,27,Winter tires,1,0,1,Normal,17.9,0,1,28.7,4.1,
Renault,R240 Intens,05.02.2019,107,43,19,Winter tires,1,0,1,Normal,18,0,1,25,4.2,
Renault,R240 Intens,31.01.2019,58,43,9,Winter tires,1,0,1,Normal,17.3,0,1,29.7,3.5,
Renault,R240 Intens,29.01.2019,84,43,15,Winter tires,1,0,1,Normal,18.5,0,1,32.8,4.7,
Renault,R240 Intens,24.01.2019,65,43,11,Winter tires,1,0,1,Normal,17.9,0,1,32.8,4.1,
Renault,R240 Intens,22.01.2019,91,43,18,Winter tires,1,0,1,Normal,19.6,0,1,26.9,5.8,
Renault,R240 Intens,17.01.2019,50,43,7,Winter tires,1,0,1,Normal,18.8,0,1,27,5,
Renault,R240 Intens,15.01.2019,99,43,20,Winter tires,1,0,1,Normal,20.6,0,1,26.8,6.8,Heizung manuell --&gt; höherer Verbrauch
Renault,R240 Intens,10.01.2019,51,43,11,Winter tires,1,0,1,Normal,22.7,0,1,18.5,8.9,Heizung manuell--&gt; höherer Verbrauch
Renault,R240 Intens,08.01.2019,61,43,12,Winter tires,1,0,1,Normal,20.7,0,1,27.5,6.9,Heizung manuell --&gt; höherer Verbrauch
Renault,R240 Intens,04.01.2019,116,43,21,Winter tires,1,0,1,Normal,18.2,0,1,27,4.4,
Renault,R240 Intens,18.12.2018,88,43,16,Winter tires,1,0,1,Normal,18.2,0,1,27.7,4.4,
Renault,R240 Intens,13.12.2018,51,43,9,Winter tires,1,0,1,Normal,19.2,0,1,26.4,5.4,
Renault,R240 Intens,11.12.2018,106,43,17,Winter tires,1,0,1,Normal,16.4,0,1,28.5,2.6,
Renault,R240 Intens,06.12.2018,107,43,17,Winter tires,1,0,1,Normal,26.2,0,1,27.8,12.4,
Renault,R240 Intens,29.11.2018,63,43,10,Winter tires,1,0,1,Normal,16.8,0,1,34.4,3,
Renault,R240 Intens,24.11.2018,119,43,21,Winter tires,1,0,1,Normal,18.1,0,1,28.2,4.3,
Renault,R240 Intens,21.11.2018,96,43,17,Winter tires,1,0,1,Normal,18.2,0,1,27.2,4.4,
Renault,R240 Intens,16.11.2018,91,43,15,Winter tires,1,0,1,Normal,17.2,0,1,27.8,3.4,
Renault,R240 Intens,13.11.2018,127,43,20,Winter tires,1,0,1,Normal,15.9,0,1,28.7,2.1,
Renault,R240 Intens,09.11.2018,112,43,17,Winter tires,1,0,1,Normal,15.9,0,1,26,2.1,Winterreifen
Renault,R240 Intens,06.11.2018,87,43,13,Summer tires,1,0,1,Normal,15.6,0,1,31.2,1.8,
Renault,R240 Intens,03.11.2018,79,43,13,Summer tires,1,0,1,Normal,17.2,1,1,31,3.4,
Renault,R240 Intens,29.10.2018,115,43,17,Summer tires,1,0,1,Normal,15.1,0,1,30.5,1.3,
Renault,R240 Intens,20.10.2018,156,43,21,Summer tires,1,0,1,Normal,13.8,1,1,29.8,0,"Verbraucht: 21kWh/Getankt laut Ladestation: 24kWs = 14% Ladeverlust zu 15,45 Euro (NewMotion)"
Renault,R240 Intens,12.10.2018,99,43,13,Summer tires,1,0,1,Normal,13.8,1,1,35.8,0,
Renault,R240 Intens,08.10.2018,165,43,23,Summer tires,1,0,1,Normal,14.8,1,1,30.4,1,im Zwischentankstopp auf 86%
Renault,R240 Intens,30.09.2018,153,43,27.6,Summer tires,1,0,1,Normal,14.8,1,1,29.1,1,"Geladen 21,5kWh; Gemessen 27,6kWh =28% Ladeverlust (220V/2,9kWh)"
Renault,R240 Intens,25.09.2018,89,43,13,Summer tires,1,0,1,Normal,15,1,1,31.4,1.2,
Renault,R240 Intens,21.09.2018,145,43,18,Summer tires,1,0,1,Normal,12.6,1,0,33.8,-1.2,Witterung deutlich kühler (0-14°C)
Renault,R240 Intens,14.09.2018,187,43,22,Summer tires,1,0,1,Normal,11.9,1,0,33.5,-1.9,
Renault,R240 Intens,05.09.2018,169,43,21,Summer tires,1,0,1,Normal,12.8,1,0,29,-1,
Renault,R240 Intens,02.09.2018,178,43,22,Summer tires,1,0,1,Normal,12.3,1,0,28,-1.5,
Renault,R240 Intens,22.08.2018,281,43,34,Summer tires,1,0,1,Normal,12.3,1,0,36,-1.5,
Renault,R240 Intens,10.08.2018,170,43,20,Summer tires,1,0,1,Normal,12.1,1,0,30.8,-1.7,
Renault,R240 Intens,01.08.2018,127,43,16,Summer tires,1,0,1,Fast,12.7,1,0,33.7,-1.1,
Renault,R240 Intens,24.07.2018,106,43,13,Summer tires,1,0,1,Normal,12.3,1,0,36,-1.5,
Renault,R240 Intens,19.07.2018,119,43,14,Summer tires,1,0,1,Normal,12.5,1,0,33.3,-1.3,
Renault,R240 Intens,13.07.2018,210,43,26,Summer tires,1,0,1,Normal,12.3,1,0,29.8,-1.5,
Renault,R240 Intens,03.07.2018,434,43,60,Summer tires,0,1,1,Normal,14,1,0,47.5,0.2,
Renault,R240 Intens,29.06.2018,158.5,43,20,Summer tires,1,0,1,Moderate,12.9,1,0,30,-0.9,
Renault,R240 Intens,22.06.2018,266,43,31.6,Summer tires,1,0,1,Normal,11.9,1,0,32.5,-1.9,
Renault,R240 Intens,28.05.2018,117,43,14,Summer tires,1,0,1,Moderate,12.7,0,0,34,-1.1,
Renault,R240 Intens,23.05.2018,144,43,17,Summer tires,1,0,1,Moderate,12.4,0,0,28,-1.4,
Renault,R240 Intens,17.05.2018,138,43,18,Summer tires,1,0,1,Moderate,13.3,0,0,28,-0.5,
Renault,R240 Intens,10.05.2018,80,43,9,Summer tires,1,0,1,Moderate,12.4,0,0,31,-1.4,
Renault,R240 Intens,04.05.2018,134.2,43,17,Summer tires,1,0,1,Moderate,12.8,0,0,23.4,-1,"Restreichweite: 30%, 50 km"
Renault,R240 Intens,26.04.2018,98,43,11,Summer tires,1,0,1,Moderate,11.9,0,0,33,-1.9,
Renault,R240 Intens,23.04.2018,92,43,12,Summer tires,1,0,1,Normal,12,0,0,30.2,-1.8,
Renault,R240 Intens,22.04.2018,162,43,23,Summer tires,1,0,1,Moderate,14.2,1,0,26.9,0.4,
Renault,ZOE Intens,25.01.2017,439,65,76,Winter tires,1,1,1,Moderate,17.3,0,1,39.1,3.5,Summe aller Teilladungen für 01/2016<br />vom 01.01.2017 bis 25.01.2017<br />Verbrauch laut Bordcomputer
Renault,ZOE Intens,01.01.2017,563,65,92,Winter tires,1,0,1,Moderate,16.4,0,1,34,2.6,Summe aller Teilladungen für 12/2016<br />Verbrauch laut Bordcomputer
Renault,ZOE Intens,01.12.2016,606,65,100,Winter tires,1,0,1,Moderate,16.5,0,1,33.5,2.7,Summe aller Teilladungen für 11/2016<br />Verbrauch laut Bordcomputer
Renault,ZOE Intens,01.11.2016,816,65,122,Summer tires,1,1,1,Moderate,14.9,0,1,41.9,1.1,Summe aller Teilladungen für 10/2016<br />Verbrauch laut Bordcomputer
Renault,ZOE Intens,01.10.2016,545,65,70,Summer tires,1,1,1,Moderate,12.8,0,0,40.5,-1,Summe aller Teilladungen für 09/2016<br />Verbrauch laut Bordcomputer
Renault,ZOE Intens,01.09.2016,465,65,58,Summer tires,1,0,1,Moderate,12.6,0,0,30.8,-1.2,Summe aller Teilladungen für 08/2016<br />Verbrauch laut Bordcomputer
Renault,ZOE Intens,01.08.2016,262,65,34,Summer tires,1,0,1,Moderate,13.2,0,0,37,-0.6,Summe aller Teilladungen für 07/2016<br />Verbrauch laut Bordcomputer
