manufacturer,version,fuel_date,trip_distance(km),power(kW),quantity(kWh),tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
Volkswagen,e-Golf,08.08.2015,29,85,4.73,Summer tires,0,0,1,Normal,12.8,1,0,43,0.1,
Volkswagen,e-Golf,08.08.2015,74,85,12.68,Summer tires,1,0,1,Normal,14,1,1,55,1.3,
Volkswagen,e-Golf,07.08.2015,73,85,12.34,Summer tires,1,0,1,Normal,13.6,1,1,57,0.9,
Volkswagen,e-Golf,06.08.2015,78,85,13.54,Summer tires,0,1,1,Normal,13.9,1,1,59,1.2,
Volkswagen,e-Golf,05.08.2015,86,85,15.11,Summer tires,0,1,1,Normal,14.1,1,1,61,1.4,Extrem warm
Volkswagen,e-Golf,03.08.2015,79,85,13.07,Summer tires,0,0,1,Normal,14.4,1,0,60,1.7,
Volkswagen,e-Golf,02.08.2015,20,85,4.13,Summer tires,0,0,1,Normal,15.2,1,0,28,2.5,Kurzstrecke
Volkswagen,e-Golf,01.08.2015,76,85,6.83,Summer tires,0,0,1,Normal,13,1,0,51,0.3,
Volkswagen,e-Golf,31.07.2015,70,85,11.72,Summer tires,0,0,1,Normal,13.7,1,0,59,1,
Volkswagen,e-Golf,30.07.2015,69,85,11.9,Summer tires,0,0,1,Normal,14,0,0,50,1.3,
Volkswagen,e-Golf,29.07.2015,82,85,13.45,Summer tires,0,0,1,Normal,13.5,0,0,61,0.8,
Volkswagen,e-Golf,28.07.2015,102,85,16.26,Summer tires,0,0,1,Normal,13,0,1,55,0.3,
Volkswagen,e-Golf,26.07.2015,20,85,3.5,Summer tires,0,0,1,Normal,12.6,1,0,43,-0.1,
Volkswagen,e-Golf,25.07.2015,73,85,11.35,Summer tires,0,0,1,Normal,12.8,1,0,53,0.1,
Volkswagen,e-Golf,24.07.2015,79,85,12.87,Summer tires,0,0,1,Normal,13.1,1,0,59,0.4,
Volkswagen,e-Golf,23.07.2015,79,85,13.27,Summer tires,0,0,1,Normal,13.5,1,0,57,0.8,
Volkswagen,e-Golf,22.07.2015,89,85,14.41,Summer tires,0,0,1,Normal,13,1,0,59,0.3,
Volkswagen,e-Golf,21.07.2015,79,85,13.35,Summer tires,0,0,1,Normal,13,1,0,54,0.3,
Volkswagen,e-Golf,19.07.2015,73,85,15.29,Summer tires,0,1,1,Normal,15.4,1,0,65,2.7,
Volkswagen,e-Golf,18.07.2015,95,85,17.93,Summer tires,0,1,1,Normal,15.5,1,0,54,2.8,
Volkswagen,e-Golf,17.07.2015,67,85,7.43,Summer tires,1,1,1,Fast,19.2,1,0,44,6.5,
Volkswagen,e-Golf,15.07.2015,81,85,12.97,Summer tires,0,1,1,Normal,15,1,0,51,2.3,
Volkswagen,e-Golf,14.07.2015,78,85,13.07,Summer tires,0,1,1,Normal,15.5,1,0,59,2.8,
Volkswagen,e-Golf,12.07.2015,44,85,5.98,Summer tires,1,1,1,Normal,18.1,1,0,57,5.4,
Volkswagen,e-Golf,12.07.2015,30,85,4.88,Summer tires,0,0,1,Normal,15.8,1,0,44,3.1,
Volkswagen,e-Golf,11.07.2015,83,85,13.92,Summer tires,0,1,1,Normal,15.5,1,0,52,2.8,
Volkswagen,e-Golf,10.07.2015,85,85,12.11,Summer tires,0,1,1,Normal,16.1,1,0,55,3.4,BC Verbrauchskorrektur
Volkswagen,e-Golf,09.07.2015,78,85,15.67,Summer tires,0,1,1,Normal,13.2,1,0,55,0.5,
Volkswagen,e-Golf,08.07.2015,76,85,12.44,Summer tires,0,0,1,Normal,13.3,1,0,50,0.6,
Volkswagen,e-Golf,06.07.2015,19,85,3.87,Summer tires,0,0,1,Normal,13.8,1,0,31,1.1,
Volkswagen,e-Golf,02.07.2015,79,85,13.04,Summer tires,0,0,1,Normal,13.3,1,1,56,0.6,
Volkswagen,e-Golf,02.07.2015,79,85,13.5,Summer tires,0,0,1,Normal,14.2,1,1,56,1.5,
Volkswagen,e-Golf,01.07.2015,97,85,16.98,Summer tires,0,0,1,Normal,13.8,1,0,53,1.1,
Volkswagen,e-Golf,30.06.2015,90,85,15.11,Summer tires,0,0,1,Normal,13.3,1,0,54,0.6,
Volkswagen,e-Golf,28.06.2015,85,85,15.31,Summer tires,0,1,1,Normal,15.1,1,0,59,2.4,50% starker Regen.
Volkswagen,e-Golf,27.06.2015,4,85,10.44,Summer tires,0,0,1,Normal,15.4,1,0,26,2.7,
Volkswagen,e-Golf,26.06.2015,86,85,3.46,Summer tires,0,1,1,Moderate,12.6,1,0,69,-0.1,
Volkswagen,e-Golf,26.06.2015,109,85,13.6,Summer tires,0,1,1,Moderate,12.7,1,0,58,0,CCS
Volkswagen,e-Golf,24.06.2015,61,85,12.15,Summer tires,0,0,1,Fast,15.98,1,1,51,3.28,
Volkswagen,e-Golf,23.06.2015,84,85,13.78,Summer tires,0,1,1,Normal,13.75,1,0,54,1.05,
Volkswagen,e-Golf,22.06.2015,46,85,8.94,Summer tires,0,0,1,Normal,15.5,1,0,63,2.8,
Volkswagen,e-Golf,12.06.2015,78,85,18.87,Summer tires,0,0,1,Normal,13.8,1,1,55,1.1,
Volkswagen,e-Golf,08.06.2015,93,85,19.15,Summer tires,0,0,1,Normal,14.1,1,0,55,1.4,
Volkswagen,e-Golf,01.06.2015,91,85,16.91,Summer tires,0,0,1,Moderate,13.9,1,1,64,1.2,
Volkswagen,e-Golf,31.05.2015,90,85,12.23,Summer tires,0,1,1,Normal,14.6,1,0,70,1.9,CCS Ladung
Volkswagen,e-Golf,26.05.2015,189,85,35.15,Summer tires,0,0,1,Normal,14,1,1,52,1.3,
Volkswagen,e-Golf,18.05.2015,94,85,17.81,Summer tires,0,0,1,Normal,14.4,1,1,54,1.7,
Volkswagen,e-Golf,11.05.2015,48,85,13.18,Summer tires,0,0,1,Normal,14.2,1,1,44,1.5,
Volkswagen,e-Golf,04.05.2015,128,85,26.43,Summer tires,1,0,1,Normal,14.1,1,1,47,1.4,
Volkswagen,e-Golf,30.04.2015,104,85,15.09,Summer tires,0,0,1,Normal,13.5,1,1,51,0.8,Ladung nur auf 90%
Volkswagen,e-Golf,29.04.2015,24,85,4.89,Summer tires,0,0,1,Normal,17.2,1,0,41,4.5,Kurzstrecke
Volkswagen,e-Golf,26.04.2015,242,85,52.73,Summer tires,0,0,1,Normal,14.4,1,0,51,1.7,
Volkswagen,e-Golf,22.04.2015,90,85,6.97,Summer tires,0,1,1,Normal,14.7,1,0,54,2,
Volkswagen,e-Golf,22.04.2015,236,85,48.11,Summer tires,0,0,1,Normal,15,1,1,56,2.3,Viel Kurzstrecke
Volkswagen,e-Golf,17.04.2015,92,85,14.53,Summer tires,0,1,1,Normal,13.4,0,0,53,0.7,
Volkswagen,e-Golf,16.04.2015,65,85,21.78,Summer tires,1,1,1,Normal,14.4,1,1,42,1.7,
Volkswagen,e-Golf,14.04.2015,79,85,15.86,Summer tires,0,1,1,Normal,14.5,1,1,60,1.8,
Volkswagen,e-Golf,13.04.2015,107,85,19.26,Winter tires,0,1,1,Normal,16,1,1,47,3.3,
Volkswagen,e-Golf,10.04.2015,81,85,14.23,Winter tires,1,0,1,Normal,15.2,1,1,41,2.5,
Volkswagen,e-Golf,09.04.2015,206,85,44.01,Winter tires,1,1,1,Normal,16.3,1,1,46,3.6,
Volkswagen,e-Golf,03.04.2015,168,85,39.01,Winter tires,0,0,1,Fast,17.9,1,1,51,5.2,
